ModuleCode,ClassNo,LessonType,DayCode,DayText,StartTime,EndTime,Venue,AcadYear,Semester
AR3101A,1,DESIGN LECTURE,1,Monday,1400,1800,BTC,2013/2014,1
LX5103,1,SEMINAR-STYLE MODULE CLASS,1,Monday,1800,2100,BTC,2013/2014,1
GEM2903,1,SEMINAR-STYLE MODULE CLASS,1,Monday,1400,1600,CAPT-SR1,2013/2014,1
GEM2903,2,SEMINAR-STYLE MODULE CLASS,1,Monday,1600,1800,CAPT-SR1,2013/2014,1
IEM2201J,3,SECTIONAL TEACHING,1,Monday,800,1000,CAPT-SR3,2013/2014,1
IEM2201J,4,SECTIONAL TEACHING,1,Monday,1000,1200,CAPT-SR3,2013/2014,1
IEM2201H,3,SECTIONAL TEACHING,1,Monday,1400,1600,CAPT-SR3,2013/2014,1
IEM2201H,4,SECTIONAL TEACHING,1,Monday,1600,1800,CAPT-SR3,2013/2014,1
GEM1034,1,SEMINAR-STYLE MODULE CLASS,1,Monday,1900,2200,CAPT-SR3,2013/2014,1
SSU2005,1,SEMINAR-STYLE MODULE CLASS,1,Monday,1000,1200,CAPT-SR4,2013/2014,1
SSU2005,2,SEMINAR-STYLE MODULE CLASS,1,Monday,1200,1400,CAPT-SR4,2013/2014,1
GEM1034,1,SEMINAR-STYLE MODULE CLASS,1,Monday,1900,2200,CAPT-SR6,2013/2014,1
CE2409,5AB,TUTORIAL,1,Monday,900,1000,CE2PC1,2013/2014,1
CE2409,5AB,TUTORIAL,1,Monday,1100,1200,CE2PC1,2013/2014,1
CE2409,1AB,TUTORIAL,1,Monday,1600,1700,CE2PC1,2013/2014,1
CE2409,3AB,TUTORIAL,1,Monday,1700,1800,CE2PC1,2013/2014,1
CE4104,PRJ,LECTURE,1,Monday,600,700,CEProj,2013/2014,1
MUA3277,1,SECTIONAL TEACHING,1,Monday,1000,1200,CMS,2013/2014,1
CS3281,1,LECTURE,1,Monday,1400,1600,COM1-0204,2013/2014,1
CS5228,1,LECTURE,1,Monday,1800,2000,COM1-0204,2013/2014,1
ES1102,C04,SECTIONAL TEACHING,1,Monday,1000,1200,COM1-0208,2013/2014,1
CS2106,5,TUTORIAL,1,Monday,1500,1600,COM1-0211,2013/2014,1
CS2106,6,TUTORIAL,1,Monday,1600,1700,COM1-0211,2013/2014,1
CS3283,1,LECTURE,1,Monday,1400,1600,COM1-0212,2013/2014,1
CS3201,1,TUTORIAL,1,Monday,1400,1500,COM1-0217,2013/2014,1
CS1010S,27,TUTORIAL,1,Monday,1000,1100,COM1-0218,2013/2014,1
CS3103,2,TUTORIAL,1,Monday,1200,1300,COM1-0218,2013/2014,1
CS3103,3,TUTORIAL,1,Monday,1300,1400,COM1-0218,2013/2014,1
IS2101,1,TUTORIAL,1,Monday,1400,1700,COM1-0218,2013/2014,1
CS3103,1,TUTORIAL,1,Monday,1100,1200,COM1-B103,2013/2014,1
CS3103,2,TUTORIAL,1,Monday,1200,1300,COM1-B103,2013/2014,1
CS3103,3,TUTORIAL,1,Monday,1300,1400,COM1-B103,2013/2014,1
IS5002,1,LECTURE,1,Monday,1800,2000,COM1-B103,2013/2014,1
CS1010S,1,TUTORIAL,1,Monday,900,1000,COM1-B108,2013/2014,1
CS1010S,5,TUTORIAL,1,Monday,1300,1400,COM1-B108,2013/2014,1
CS1010S,27,TUTORIAL,1,Monday,1000,1100,COM1-B110,2013/2014,1
CS1010S,13,TUTORIAL,1,Monday,1200,1300,COM1-B111,2013/2014,1
CS1010S,14,TUTORIAL,1,Monday,1300,1400,COM1-B111,2013/2014,1
CS2106,1,LABORATORY,1,Monday,1000,1100,COM1-B113,2013/2014,1
CS2106,2,LABORATORY,1,Monday,1100,1200,COM1-B113,2013/2014,1
CS2106,3,LABORATORY,1,Monday,1200,1300,COM1-B113,2013/2014,1
CS2106,4,LABORATORY,1,Monday,1300,1400,COM1-B113,2013/2014,1
LC1006,19,TUTORIAL,1,Monday,1400,1500,CR2-1,2013/2014,1
LC1006,20,TUTORIAL,1,Monday,1800,2000,CR3-5,2013/2014,1
LC1006,12,TUTORIAL,1,Monday,1400,1500,CR3-6,2013/2014,1
CE4103,DSG,LECTURE,1,Monday,700,800,DV1,2013/2014,1
CE6101,1,LECTURE,1,Monday,1800,2100,E1-06-01,2013/2014,1
ES5001A,R16,SECTIONAL TEACHING,1,Monday,1300,1500,E1-06-02,2013/2014,1
ES5001A,R17,SECTIONAL TEACHING,1,Monday,1500,1700,E1-06-02,2013/2014,1
SH5101,1,LECTURE,1,Monday,1800,2100,E1-06-02,2013/2014,1
ME3122E,1,TUTORIAL,1,Monday,1800,2100,E1-06-10,2013/2014,1
ME3122E,2,TUTORIAL,1,Monday,1800,2100,E1-06-11,2013/2014,1
ES1102,A05,SECTIONAL TEACHING,1,Monday,1200,1400,E1-06-12,2013/2014,1
ES1102,A04,SECTIONAL TEACHING,1,Monday,1400,1600,E1-06-12,2013/2014,1
ME3122E,3,TUTORIAL,1,Monday,1800,2100,E1-06-12,2013/2014,1
ES1531,E12,SECTIONAL TEACHING,1,Monday,1400,1600,E1-06-13,2013/2014,1
ME3122E,4,TUTORIAL,1,Monday,1800,2100,E1-06-13,2013/2014,1
ME3122E,5,TUTORIAL,1,Monday,1800,2100,E1-06-14,2013/2014,1
ES5001A,R9,SECTIONAL TEACHING,1,Monday,900,1100,E1-06-15,2013/2014,1
ES5001A,R10,SECTIONAL TEACHING,1,Monday,1100,1300,E1-06-15,2013/2014,1
ES5001A,R18,SECTIONAL TEACHING,1,Monday,900,1100,E1-06-16,2013/2014,1
ES5001A,R16,SECTIONAL TEACHING,1,Monday,1400,1600,E1-06-16,2013/2014,1
ES5001A,R17,SECTIONAL TEACHING,1,Monday,1600,1800,E1-06-16,2013/2014,1
CE3115,G56,TUTORIAL,1,Monday,1400,1500,E2-03-02,2013/2014,1
GEM2903,3,SEMINAR-STYLE MODULE CLASS,2,Tuesday,1400,1600,CAPT-SR1,2013/2014,1
GEM2903,4,SEMINAR-STYLE MODULE CLASS,2,Tuesday,1600,1800,CAPT-SR1,2013/2014,1
GEM1034,2,SEMINAR-STYLE MODULE CLASS,2,Tuesday,1900,2200,CAPT-SR3,2013/2014,1
SSU2002,3,SEMINAR-STYLE MODULE CLASS,2,Tuesday,800,1000,CAPT-SR4,2013/2014,1
SSU2002,4,SEMINAR-STYLE MODULE CLASS,2,Tuesday,1000,1200,CAPT-SR4,2013/2014,1
GEM1910,1,SEMINAR-STYLE MODULE CLASS,2,Tuesday,900,1200,CAPT-SR5,2013/2014,1
GEM1910,2,SEMINAR-STYLE MODULE CLASS,2,Tuesday,1500,1800,CAPT-SR5,2013/2014,1
CE2409,4AB,TUTORIAL,2,Tuesday,900,1000,CE2PC1,2013/2014,1
CE2409,4AB,TUTORIAL,2,Tuesday,900,1000,CE2PC5-6,2013/2014,1
ES5001B,4,SECTIONAL TEACHING,2,Tuesday,900,1100,CELC-SR1B,2013/2014,1
ES5001B,5,SECTIONAL TEACHING,2,Tuesday,1100,1300,CELC-SR1B,2013/2014,1
ES5001B,6,SECTIONAL TEACHING,2,Tuesday,1600,1800,CELC-SR1B,2013/2014,1
GEM1008,1,SECTIONAL TEACHING,2,Tuesday,1200,1500,CELC-SR2A,2013/2014,1
NM3226,W1,TUTORIAL,2,Tuesday,1000,1200,COM1-0202,2013/2014,1
CS3201,5,TUTORIAL,2,Tuesday,1400,1500,COM1-0203,2013/2014,1
ES1000,C2,SECTIONAL TEACHING,2,Tuesday,1000,1200,COM1-0210,2013/2014,1
CS2106,8,TUTORIAL,2,Tuesday,1200,1300,COM1-0211,2013/2014,1
CS2106,7,TUTORIAL,2,Tuesday,1300,1400,COM1-0211,2013/2014,1
CS4246,1,TUTORIAL,2,Tuesday,1400,1500,COM1-0211,2013/2014,1
CS4246,2,TUTORIAL,2,Tuesday,1500,1600,COM1-0211,2013/2014,1
CS4246,3,TUTORIAL,2,Tuesday,1600,1700,COM1-0211,2013/2014,1
IS2101,2,TUTORIAL,2,Tuesday,900,1200,COM1-0218,2013/2014,1
CS2105,1,TUTORIAL,2,Tuesday,900,1000,COM1-B103,2013/2014,1
CS2105,2,TUTORIAL,2,Tuesday,1000,1100,COM1-B103,2013/2014,1
CS2105,3,TUTORIAL,2,Tuesday,1100,1200,COM1-B103,2013/2014,1
CS2105,4,TUTORIAL,2,Tuesday,1400,1500,COM1-B103,2013/2014,1
