ModuleCode,ClassNo,LessonType,DayCode,DayText,StartTime,EndTime,Venue,AcadYear,Semester
AR2221,4,TUTORIAL,3,Wednesday,1700,1800,ES2,2013/2014,1
PF2101,6,TUTORIAL,4,Thursday,900,1100,ES2,2013/2014,1
PF1102,8,TUTORIAL,4,Thursday,1100,1300,ES2,2013/2014,1
AR5421,14,TUTORIAL,5,Friday,1100,1300,ES2,2013/2014,1
ESE3201,LA1,LABORATORY,1,Monday,1400,1700,ESE-Lab,2013/2014,1
ESE3401,LA1,LABORATORY,1,Monday,1400,1700,ESE-LAB4,2013/2014,1
LL6030,1,SEMINAR-STYLE MODULE CLASS,3,Wednesday,1900,2100,EXEC-SR,2013/2014,1
RE6007,1,LECTURE,1,Monday,1400,1700,GIS,2013/2014,1
RE6007,1,LECTURE,2,Tuesday,1400,1700,GIS,2013/2014,1
AR5421,2,TUTORIAL,5,Friday,1200,1500,GIS,2013/2014,1
AR5421,5,TUTORIAL,5,Friday,1500,1800,GIS,2013/2014,1
MUT3201C,1,SECTIONAL TEACHING,4,Thursday,1000,1200,GMS,2013/2014,1
BFS1001,A5,SECTIONAL TEACHING,3,Wednesday,1100,1400,HSSMLCR,2013/2014,1
BFS1001,A3,SECTIONAL TEACHING,4,Thursday,1100,1400,HSSMLCR,2013/2014,1
BMA5801,P1,LECTURE,7,Sunday,600,900,HSSMLCR,2013/2014,1
IS2103,1,TUTORIAL,1,Monday,1400,1500,i3-0337,2013/2014,1
IS2103,2,TUTORIAL,1,Monday,1500,1600,i3-0337,2013/2014,1
IS2103,3,TUTORIAL,1,Monday,1600,1700,i3-0337,2013/2014,1
CS2102,10,TUTORIAL,4,Thursday,1000,1200,i3-0345,2013/2014,1
CS2102,9,TUTORIAL,4,Thursday,1200,1400,i3-0345,2013/2014,1
CS1010E,16,LABORATORY,3,Wednesday,1200,1400,i3-0346,2013/2014,1
BT5110,2,TUTORIAL,3,Wednesday,1900,2000,i3-0346,2013/2014,1
BT5110,1,TUTORIAL,4,Thursday,1600,1800,i3-0346,2013/2014,1
CS1010,13,TUTORIAL,5,Friday,1400,1600,i3-0346,2013/2014,1
IT1005,1B,LABORATORY,1,Monday,800,1000,i3-0347,2013/2014,1
IT1005,4B,LABORATORY,2,Tuesday,800,1000,i3-0347,2013/2014,1
CS1010E,17,LABORATORY,3,Wednesday,1200,1400,i3-0347,2013/2014,1
CS2102,6,TUTORIAL,4,Thursday,1200,1400,i3-0347,2013/2014,1
CS1010,20,TUTORIAL,5,Friday,1000,1200,i3-0347,2013/2014,1
CS1010,21,TUTORIAL,5,Friday,1400,1600,i3-0347,2013/2014,1
CS5215,1,LECTURE,1,Monday,1900,2000,i3-Aud,2013/2014,1
EE2031,B8,LABORATORY,2,Tuesday,900,1200,LinELab,2013/2014,1
EE2031,B9,LABORATORY,4,Thursday,900,1200,LinELab,2013/2014,1
LSM3253,SB1,LABORATORY,5,Friday,1400,1800,LSLAB2,2013/2014,1
ESE1001,1,LECTURE,4,Thursday,900,1100,LT1,2013/2014,1
ESE3401,1,LECTURE,4,Thursday,1100,1300,LT1,2013/2014,1
CE3115,1,LECTURE,4,Thursday,1400,1600,LT1,2013/2014,1
ESE1001,1,LECTURE,5,Friday,1300,1400,LT1,2013/2014,1
NM3207,1,LECTURE,2,Tuesday,1000,1200,LT10,2013/2014,1
EC3382,1,LECTURE,2,Tuesday,1800,2000,LT10,2013/2014,1
EC3373,1,LECTURE,3,Wednesday,1400,1600,LT12,2013/2014,1
NM3213,1,LECTURE,5,Friday,1000,1200,LT12,2013/2014,1
PS3240,1,LECTURE,5,Friday,1600,1800,LT12,2013/2014,1
CS3236,1,LECTURE,1,Monday,1400,1600,LT15,2013/2014,1
ACC3606,JX,LECTURE,2,Tuesday,1700,1900,LT18,2013/2014,1
IS5002,1,LECTURE,1,Monday,1900,2000,LT19,2013/2014,1
IS2104,1,LECTURE,2,Tuesday,1500,1800,LT19,2013/2014,1
CS5237,1,LECTURE,3,Wednesday,1900,2000,LT19,2013/2014,1
CE2134,1,LECTURE,2,Tuesday,1100,1200,LT2,2013/2014,1
LSM3252,SL1,LECTURE,2,Tuesday,800,1000,LT20,2013/2014,1
PR3301,SL1,LECTURE,6,Saturday,1000,1300,LT21,2013/2014,1
CN3121,1,LECTURE,4,Thursday,1000,1200,LT25,2013/2014,1
GEK1515,ST1,TUTORIAL,1,Monday,1800,1900,LT26,2013/2014,1
GEM2901,SL1,LECTURE,1,Monday,800,1000,LT27,2013/2014,1
GEM2901,SL1,LECTURE,4,Thursday,800,1000,LT27,2013/2014,1
NUR1117,1,LECTURE,3,Wednesday,900,1000,LT29,2013/2014,1
NUR3103,1,LECTURE,4,Thursday,800,1000,LT29,2013/2014,1
NUR3103,1,LECTURE,5,Friday,1000,1200,LT29,2013/2014,1
CE3166,1,LECTURE,1,Monday,1300,1400,LT3,2013/2014,1
EE3407,1,PACKAGED LECTURE,1,Monday,1400,1600,LT3,2013/2014,1
EE3407,1,PACKAGED TUTORIAL,4,Thursday,1200,1300,LT3,2013/2014,1
SSS1207,SL1,LECTURE,1,Monday,1600,1800,LT32,2013/2014,1
SSS1207,SL1,LECTURE,4,Thursday,1600,1800,LT32,2013/2014,1
EE3032,1,LECTURE,1,Monday,1800,2000,LT4,2013/2014,1
EE3431C,1,PACKAGED LECTURE,2,Tuesday,1200,1400,LT4,2013/2014,1
CE5610,1,LECTURE,2,Tuesday,1800,2100,LT4,2013/2014,1
EE3431C,1,PACKAGED LECTURE,4,Thursday,1200,1400,LT4,2013/2014,1
CE2409,1,LECTURE,1,Monday,900,1100,LT5,2013/2014,1
EE3302,1,PACKAGED TUTORIAL,2,Tuesday,900,1000,LT5,2013/2014,1
EE1002,ALL,LECTURE,5,Friday,800,1000,LT5,2013/2014,1
EE3302,1,PACKAGED LECTURE,5,Friday,1600,1800,LT5,2013/2014,1
ME2103,1,LECTURE,1,Monday,1400,1600,LT7,2013/2014,1
CN3132,1,LECTURE,4,Thursday,900,1000,LT7,2013/2014,1
EC3333,1,LECTURE,2,Tuesday,1200,1400,LT8,2013/2014,1
LAJ1201,2,LECTURE,2,Tuesday,1800,2000,LT9,2013/2014,1
