ModuleCode,ClassNo,LessonType,DayCode,DayText,StartTime,EndTime,Venue,AcadYear,Semester
ACC1002,V02,TUTORIAL,2,Tuesday,1000,1200,BIZ2-0112,2013/2014,1
ACC1002,V03,TUTORIAL,2,Tuesday,1200,1400,BIZ2-0112,2013/2014,1
ACC1002,V01,TUTORIAL,2,Tuesday,1400,1600,BIZ2-0112,2013/2014,1
ACC1002,V03,TUTORIAL,2,Tuesday,1600,1800,BIZ2-0112,2013/2014,1
ACC2002,B13,TUTORIAL,2,Tuesday,1200,1400,BIZ2-0115,2013/2014,1
ACC2002,B12,TUTORIAL,4,Thursday,1600,1800,BIZ2-0227,2013/2014,1
ACC2002,B08,TUTORIAL,3,Wednesday,900,1100,BIZ2-0301,2013/2014,1
ACC3601,A1,SECTIONAL TEACHING,4,Thursday,900,1100,BIZ2-0201,2013/2014,1
ACC3601,A2,SECTIONAL TEACHING,1,Monday,1600,1800,BIZ2-0201,2013/2014,1
ACC3601,A3,SECTIONAL TEACHING,1,Monday,1100,1300,BIZ2-0201,2013/2014,1
ACC3601,A3,SECTIONAL TEACHING,3,Wednesday,900,1100,BIZ2-0413B,2013/2014,1
ACC3601,A2,SECTIONAL TEACHING,3,Wednesday,1100,1300,BIZ2-0413B,2013/2014,1
ACC3602,B1,SECTIONAL TEACHING,4,Thursday,1100,1300,BIZ2-0201,2013/2014,1
ACC3602,B3,SECTIONAL TEACHING,2,Tuesday,1100,1300,BIZ2-0201,2013/2014,1
ACC3602,B1,SECTIONAL TEACHING,4,Thursday,1600,1800,BIZ2-0202,2013/2014,1
ACC3602,B2,SECTIONAL TEACHING,2,Tuesday,1400,1600,BIZ2-0202,2013/2014,1
ACC3602,B2,SECTIONAL TEACHING,2,Tuesday,1400,1600,BIZ2-0413A,2013/2014,1
ACC3602,B1,SECTIONAL TEACHING,4,Thursday,1600,1800,BIZ2-0413A,2013/2014,1
ACC3602,B1,SECTIONAL TEACHING,4,Thursday,1600,1800,BIZ2-0413C,2013/2014,1
ACC3603,C1,SECTIONAL TEACHING,2,Tuesday,1100,1300,BIZ2-0413B,2013/2014,1
ACC3603,C3,SECTIONAL TEACHING,2,Tuesday,1400,1600,BIZ2-0413B,2013/2014,1
ACC3604,D1,SECTIONAL TEACHING,5,Friday,1100,1300,BIZ2-0227,2013/2014,1
ACC3604,D2,SECTIONAL TEACHING,5,Friday,900,1100,BIZ2-0227,2013/2014,1
ACC3604,D3,SECTIONAL TEACHING,2,Tuesday,900,1100,BIZ2-0229,2013/2014,1
ACC3604,D1,SECTIONAL TEACHING,2,Tuesday,1200,1400,BIZ2-0229,2013/2014,1
ACC3604,D3,SECTIONAL TEACHING,1,Monday,900,1100,BIZ2-0303,2013/2014,1
ACC3604,D2,SECTIONAL TEACHING,1,Monday,1100,1300,BIZ2-0303,2013/2014,1
ACC3605,E2,SECTIONAL TEACHING,4,Thursday,1400,1600,BIZ2-0404,2013/2014,1
ACC3605,E1,SECTIONAL TEACHING,4,Thursday,1200,1400,BIZ2-0404,2013/2014,1
ACC3605,E3,SECTIONAL TEACHING,4,Thursday,900,1100,BIZ2-0404,2013/2014,1
ACC3611,K3,SECTIONAL TEACHING,4,Thursday,1100,1300,BIZ2-0202,2013/2014,1
ACC3611,K3,SECTIONAL TEACHING,5,Friday,1100,1300,BIZ2-0413B,2013/2014,1
ACC3612,F5,SECTIONAL TEACHING,3,Wednesday,1600,1800,BIZ2-0303,2013/2014,1
ACC3612,F6,SECTIONAL TEACHING,2,Tuesday,1400,1600,BIZ2-0303,2013/2014,1
ACC3612,F6,SECTIONAL TEACHING,3,Wednesday,1400,1600,BIZ2-0303,2013/2014,1
ACC3612,F4,SECTIONAL TEACHING,3,Wednesday,1100,1300,BIZ2-0303,2013/2014,1
ACC3612,F5,SECTIONAL TEACHING,2,Tuesday,1100,1300,BIZ2-0413C,2013/2014,1
